serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
1030A034F97G,0,0,,,,0,0,0,0,0,1,0.0003582405624911189,,2020-10-14,
1040A01VF97G,0,0,,,,0,0,0,0,0,1,0.000267660099780187,,2021-06-08,
1040A024F97G,0,0,,,,0,0,0,0,0,1,0.0005847931606695056,,2021-04-23,
1040A03CF97G,0,0,,,,0,0,0,0,0,1,0.00043256962089799345,,2020-11-10,
1040A04KF97G,0,0,,,,0,0,0,0,0,1,0.00027696130564436316,,2020-10-14,
1040A04MF97G,0,0,,,,0,0,0,0,0,1,0.0005231191171333194,,2020-11-17,
1040A04PF97G,0,0,,,,0,0,0,0,0,1,0.00800191517919302,,2021-09-16,
1040A04XF97G,0,0,,,,0,0,0,0,0,1,0.00029762880876660347,,2020-11-04,
1040A053F97G,0,0,,,,0,0,0,0,0,1,0.0006592271965928376,,2020-08-12,
1040A06CF97G,0,0,,,,0,0,0,0,0,1,0.0003124233626294881,,2020-10-29,
1040A06GF97G,0,0,,,,0,0,0,0,0,1,0.0003137477324344218,,2020-11-17,
1040A06UF97G,0,0,,,,0,0,0,0,0,1,0.0002937616081908345,,2020-11-04,
1040A06WF97G,0,0,,,,0,0,0,0,0,1,0.0003217867051716894,,2020-11-10,
1040A07QF97G,0,0,,,,0,0,0,0,0,1,0.00035577575908973813,,2020-11-17,
1040A0A9F97G,0,0,,,,0,0,0,0,0,1,0.0005052376072853804,,2021-02-26,
1040A0EEF97G,0,0,,,,0,0,0,0,0,1,0.000524667848367244,,2020-08-12,
1050A00FF97G,0,0,,,,0,0,0,0,0,1,0.0009498251019977033,,2020-06-27,
1050A00VF97G,0,0,,,,0,0,0,0,0,1,0.0006544645293615758,,2020-08-12,
1050A02XF97G,0,0,,,,0,0,0,0,0,1,0.0005711044650524855,,2021-04-23,
1050A037F97G,0,0,,,,0,0,0,0,0,1,0.0005188056384213269,,2020-09-17,
1050A04EF97G,0,0,,,,0,0,0,0,0,1,0.00031976401805877686,,2020-11-25,
1050A054F97G,0,0,,,,0,0,0,0,0,1,0.00031224737176671624,,2021-04-29,
1050A05QF97G,0,0,,,,0,0,0,0,0,1,0.0002362200611969456,,2020-11-04,
1050A060F97G,0,0,,,,0,0,0,0,0,1,0.0005330200074240565,,2021-04-08,
1050A07YF97G,0,0,,,,0,0,0,0,0,1,0.00047769988304935396,,2020-11-04,
1050A082F97G,0,0,,,,0,0,0,0,0,1,0.0006521831382997334,,2021-06-08,
1050A084F97G,0,0,,,,0,0,0,0,0,1,0.00041949350270442665,,2021-04-29,
1050A0A7F97G,0,0,,,,0,0,0,0,0,1,0.0005765510140918195,,2021-09-16,
1050A0AZF97G,0,0,,,,0,0,0,0,0,1,0.0005549858906306326,,2020-06-24,
1050A0C4F97G,0,0,,,,0,0,0,0,0,1,0.0018931555096060038,,2020-06-25,
1050A0CTF97G,0,0,,,,0,0,0,0,0,1,0.00043323359568603337,,2020-11-04,
1050A0D3F97G,0,0,,,,0,0,0,0,0,1,0.00030813354533165693,,2020-11-17,
1060A00LF97G,0,0,,,,0,0,0,0,0,1,0.0005423875991255045,,2020-10-14,
1060A01RF97G,0,0,,,,0,0,0,0,0,1,0.001971181482076645,,2020-10-14,
1060A01UF97G,0,0,,,,0,0,0,0,0,1,0.00042533056694082916,,2020-09-17,
1060A027F97G,0,0,,,,0,0,0,0,0,1,0.0006809756741859019,,2020-07-28,
1060A029F97G,0,0,,,,0,0,0,0,0,1,0.0004545870760921389,,2020-11-10,
1060A02QF97G,0,0,,,,0,0,0,0,0,1,0.0011897722724825144,,2020-09-23,
1060A02YF97G,0,0,,,,0,0,0,0,0,1,0.0003026731719728559,,2020-11-04,
1060A04GF97G,0,0,,,,0,0,0,0,0,1,0.0005880735698156059,,2021-04-30,
1070A00QF97G,0,0,,,,0,0,0,0,0,1,0.0015001961728557944,,2021-04-13,
1070A01KF97G,0,0,,,,0,0,0,0,0,1,0.00026030081789940596,,2020-11-04,
