serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
1030A034F97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-10-14,
1040A01VF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2021-06-08,
1040A024F97G,0,0,,,,0,0,0,0,0,1,0.0007926090038381517,,2021-04-23,
1040A03CF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-10,
1040A04KF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-10-14,
1040A04MF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-17,
1040A04PF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2021-09-16,
1040A04XF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-04,
1040A053F97G,0,0,,,,0,0,0,0,0,1,0.0008172900998033583,,2020-08-12,
1040A06CF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-10-29,
1040A06GF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-17,
1040A06UF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-04,
1040A06WF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-10,
1040A07QF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-17,
1040A0A9F97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2021-02-26,
1040A0EEF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-08-12,
1050A00FF97G,0,0,,,,0,0,0,0,0,1,0.0008669221424497664,,2020-06-27,
1050A00VF97G,0,0,,,,0,0,0,0,0,1,0.0008172900998033583,,2020-08-12,
1050A02XF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2021-04-23,
1050A037F97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-09-17,
1050A04EF97G,0,0,,,,0,0,0,0,0,1,0.0007820592145435512,,2020-11-25,
