serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007620258838869631,,2019-05-27,,0.469
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00556966383010149,,2019-08-14,,0.469
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000781949725933373,,2019-05-27,,0.469
2AGEU1JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.4109850823879242,,2019-06-01,,0.469
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000781949725933373,,2019-05-27,,0.469
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000781949725933373,,2019-05-27,,0.469
2AGGHGJY,1,1,2024-11-17,2024-11-19,2.0,On time,1,0,0,0,0,0,0.6306884288787842,0.5484029650688171,2019-05-16,2012.0,0.469
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009801473934203386,,2019-06-01,,0.469
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009175236918963492,,2019-05-27,,0.469
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000798488617874682,,2019-05-16,,0.469
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004929641727358103,,2019-05-27,,0.469
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014739688485860825,,2019-05-27,,0.469
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.033233679831027985,,2019-05-27,,0.469
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08882291615009308,,2019-05-27,,0.469
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025020570028573275,,2019-05-27,,0.469
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.04388771578669548,,2019-05-27,,0.469
2AGH31PY,1,1,2024-08-11,2024-11-18,99.0,Early,0,1,0,1,0,0,0.5390885472297668,0.5390885472297668,2019-05-27,1903.0,0.469
2AGH33SY,1,1,2025-02-15,2025-05-08,82.0,Early,0,1,0,1,0,0,0.6831129789352417,0.6016836762428284,2019-05-27,2091.0,0.469
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.18581679463386536,,2019-05-27,,0.469
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007902680663391948,,2019-05-27,,0.469
