serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003968766250181943,,2019-05-27,,0.123
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001577427494339645,,2019-08-14,,0.123
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013771933736279607,,2019-05-27,,0.123
2AGEU1JY,0,1,2025-05-20,,,Censored Early,0,0,1,1,0,0,0.24388284981250763,0.12517128884792328,2019-06-01,2180.0,0.123
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003252748283557594,,2019-05-27,,0.123
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00041987973963841796,,2019-05-27,,0.123
2AGGHGJY,1,1,2024-10-26,2024-11-19,24.0,On time,1,0,0,0,0,0,0.17442192137241364,0.12712617218494415,2019-05-16,1990.0,0.123
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008819258073344827,,2019-06-01,,0.123
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003775079676415771,,2019-05-27,,0.123
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009850130882114172,,2019-05-16,,0.123
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006992267444729805,,2019-05-27,,0.123
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00037043954944238067,,2019-05-27,,0.123
2AGGL0UY,1,1,2022-02-27,2022-02-27,0.0,On time,1,0,0,0,0,0,0.12551215291023254,0.12551215291023254,2019-05-27,1007.0,0.123
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04295233637094498,,2019-05-27,,0.123
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013747428311035037,,2019-05-27,,0.123
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.036455705761909485,,2019-05-27,,0.123
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.06344367563724518,,2019-05-27,,0.123
2AGH33SY,1,1,2025-02-10,2025-05-08,87.0,Early,0,1,0,1,0,0,0.33956703543663025,0.14029113948345184,2019-05-27,2086.0,0.123
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.07374611496925354,,2019-05-27,,0.123
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005999838002026081,,2019-05-27,,0.123
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004690428904723376,,2019-05-27,,0.123
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.0374714620411396,,2019-05-27,,0.123
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016491642454639077,,2019-05-27,,0.123
