serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00047967201680876315,,2019-05-27,,0.121
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008958238177001476,,2019-08-14,,0.121
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001588250044733286,,2019-05-27,,0.121
2AGEU1JY,0,1,2025-05-20,,,Censored Early,0,0,1,1,0,0,0.21631532907485962,0.1926826685667038,2019-06-01,2180.0,0.121
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00042048798059113324,,2019-05-27,,0.121
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005909241735935211,,2019-05-27,,0.121
2AGGHGJY,1,1,2024-11-19,2024-11-19,0.0,On time,1,0,0,0,0,0,0.12141262739896774,0.12141262739896774,2019-05-16,2014.0,0.121
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010907629039138556,,2019-06-01,,0.121
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00044483531382866204,,2019-05-27,,0.121
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012298690853640437,,2019-05-16,,0.121
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0029131423216313124,,2019-05-27,,0.121
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005218250444158912,,2019-05-27,,0.121
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.006591376382857561,,2019-05-27,,0.121
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.020035412162542343,,2019-05-27,,0.121
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021068649366497993,,2019-05-27,,0.121
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.0458206981420517,,2019-05-27,,0.121
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.041217755526304245,,2019-05-27,,0.121
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,Early,0,1,0,1,0,0,0.16679856181144714,0.12432503700256348,2019-05-27,2105.0,0.121
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09633102267980576,,2019-05-27,,0.121
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010535873007029295,,2019-05-27,,0.121
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006009938661009073,,2019-05-27,,0.121
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.02037505805492401,,2019-05-27,,0.121
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018820927944034338,,2019-05-27,,0.121
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.022006234154105186,,2019-05-27,,0.121
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019115481991320848,,2019-05-27,,0.121
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010806091595441103,,2019-05-27,,0.121
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007576766074635088,,2019-05-27,,0.121
2AGHJD4Y,0,1,2025-08-16,,,Censored Early,0,0,1,1,0,0,0.24076636135578156,0.12218151986598969,2019-06-01,2268.0,0.121
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007778854924254119,,2019-05-27,,0.121
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009329798631370068,,2019-05-27,,0.121
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.02666330523788929,,2019-05-27,,0.121
2AGHLGTY,1,0,,2025-08-05,,Missed,0,0,0,0,1,0,0.10131034255027771,,2019-05-27,,0.121
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00251451856456697,,2019-05-27,,0.121
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016629962483420968,,2019-05-27,,0.121
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008162385784089565,,2019-05-27,,0.121
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007731030927971005,,2019-05-27,,0.121
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020738295279443264,,2019-06-01,,0.121
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0252147875726223,,2019-05-27,,0.121
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.016509661450982094,,2019-05-27,,0.121
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.026322444900870323,,2019-05-27,,0.121
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010187973966822028,,2019-05-27,,0.121
2AGHN0TY,1,1,2020-08-24,2020-10-22,59.0,Early,0,1,0,1,0,0,0.5253387689590454,0.14498664438724518,2019-05-27,455.0,0.121
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002211921848356724,,2019-05-27,,0.121
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006664501270279288,,2019-05-27,,0.121
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007815627031959593,,2019-05-27,,0.121
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015824784059077501,,2019-05-27,,0.121
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011131362989544868,,2019-05-27,,0.121
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004418719036038965,,2019-05-27,,0.121
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015179674373939633,,2019-05-27,,0.121
2AGHTBYY,1,1,2023-09-19,2025-01-25,494.0,Early,0,1,0,1,0,0,0.3520905375480652,0.12838059663772583,2019-05-27,1576.0,0.121
2AGHTGEY,1,1,2023-02-08,2023-03-14,34.0,Early,0,1,0,1,0,0,0.28736376762390137,0.12324061244726181,2019-05-27,1353.0,0.121
