serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006083740790409106,,2019-08-14,,0.986
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGEU1JY,0,1,2026-02-19,,,Censored Early,0,0,1,1,0,0,0.9997605991430415,0.9997605991430415,2019-06-01,2455.0,0.986
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.5835137604646147,,2019-05-16,,0.986
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-06-01,,0.986
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-16,,0.986
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0053859225008027695,,2019-05-27,,0.986
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011233432012599,,2019-05-27,,0.986
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.0008757230931945953,,2019-05-27,,0.986
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.25539814927230237,,2019-05-27,,0.986
