threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.039711191335740074,0.06790123456790123,0.05011389521640091,0.14124872057318322,0.07913669064748201,399.7913669064748,325.0,325.7667761504468,139,11,128,23,138,839
0.02,0.05150214592274678,0.07407407407407407,0.06075949367088608,0.10644831115660185,0.09302325581395349,363.51937984496124,291.0,322.5590289292821,129,12,117,33,104,873
0.03,0.045454545454545456,0.05555555555555555,0.049999999999999996,0.08188331627430911,0.07627118644067797,342.0762711864407,258.5,314.8559303785948,118,9,109,44,80,897
0.04,0.05649717514124294,0.06172839506172839,0.058997050147492625,0.06550665301944729,0.08849557522123894,321.8053097345133,223.0,311.92768785358385,113,10,103,49,64,913
0.05,0.06666666666666667,0.06790123456790123,0.0672782874617737,0.05834186284544524,0.10185185185185185,286.3333333333333,180.5,294.35598251852207,108,11,97,54,57,920
0.06,0.09395973154362416,0.08641975308641975,0.090032154340836,0.04912998976458546,0.13861386138613863,238.46534653465346,160.0,255.37697099384044,101,14,87,61,48,929
0.07,0.10714285714285714,0.09259259259259259,0.09933774834437087,0.04708290685772774,0.1595744680851064,236.72340425531914,152.5,261.9654599717266,94,15,79,68,46,931
0.08,0.11382113821138211,0.08641975308641975,0.09824561403508772,0.03991811668372569,0.16666666666666666,229.48809523809524,148.0,259.4532022234278,84,14,70,78,39,938
0.09,0.15789473684210525,0.1111111111111111,0.13043478260869565,0.033776867963152504,0.2222222222222222,220.1851851851852,146.0,262.3543975312365,81,18,63,81,33,944
0.1,0.15384615384615385,0.09876543209876543,0.12030075187969926,0.02968270214943705,0.21333333333333335,224.48,146.0,267.0719932901988,75,16,59,87,29,948
0.11,0.1836734693877551,0.1111111111111111,0.13846153846153844,0.02661207778915046,0.25,203.86111111111111,113.5,262.61766175455926,72,18,54,90,26,951
0.12,0.22340425531914893,0.12962962962962962,0.1640625,0.02456499488229273,0.3,183.97142857142856,90.0,247.31200487461592,70,21,49,92,24,953
0.13,0.25287356321839083,0.13580246913580246,0.17670682730923695,0.02047082906857728,0.3283582089552239,182.53731343283582,81.0,250.98922664387374,67,22,45,95,20,957
0.14,0.26506024096385544,0.13580246913580246,0.1795918367346939,0.01842374616171955,0.3384615384615385,175.52307692307693,80.0,249.62569565049603,65,22,43,97,18,959
0.15,0.2839506172839506,0.1419753086419753,0.18930041152263374,0.01842374616171955,0.36507936507936506,169.6984126984127,75.0,252.2608649111757,63,23,40,99,18,959
0.16,0.3037974683544304,0.14814814814814814,0.19917012448132781,0.017400204708290685,0.3870967741935484,162.20967741935485,71.0,251.77794473451135,62,24,38,100,17,960
0.17,0.3333333333333333,0.15432098765432098,0.2109704641350211,0.016376663254861822,0.423728813559322,151.08474576271186,58.0,231.8887290246427,59,25,34,103,16,961
0.18,0.37142857142857144,0.16049382716049382,0.22413793103448273,0.015353121801432957,0.4727272727272727,141.29090909090908,45.0,233.53852496885415,55,26,29,107,15,962
0.19,0.373134328358209,0.15432098765432098,0.2183406113537118,0.015353121801432957,0.4807692307692308,144.42307692307693,48.0,237.86432349247448,52,25,27,110,15,962
0.2,0.4032258064516129,0.15432098765432098,0.2232142857142857,0.014329580348004094,0.5208333333333334,141.41666666666666,29.5,246.94338363726658,48,25,23,114,14,963
0.21,0.3898305084745763,0.1419753086419753,0.20814479638009048,0.01330603889457523,0.5,139.5,34.5,241.623921756968,46,23,23,116,13,964
0.22,0.3898305084745763,0.1419753086419753,0.20814479638009048,0.01330603889457523,0.5,104.78260869565217,34.5,158.27094449536713,46,23,23,116,13,964
0.23,0.38596491228070173,0.13580246913580246,0.20091324200913238,0.01330603889457523,0.5,107.97727272727273,34.5,160.85220328504326,44,22,22,118,13,964
0.24,0.4,0.13580246913580246,0.20276497695852533,0.012282497441146366,0.5116279069767442,106.88372093023256,29.0,162.77837827139788,43,22,21,119,12,965
0.25,0.42592592592592593,0.1419753086419753,0.21296296296296297,0.011258955987717503,0.5348837209302325,100.6046511627907,28.0,161.23637703909208,43,23,20,119,11,966
0.26,0.4339622641509434,0.1419753086419753,0.21395348837209302,0.01023541453428864,0.5348837209302325,93.46511627906976,28.0,149.98206851537043,43,23,20,119,10,967
