threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.03088803088803089,0.04938271604938271,0.03800475059382424,0.12794268167860798,439.0074626865672,365.5,334.11079349875547,0.8024691358024691,8,251,28,852
0.02,0.03571428571428571,0.04938271604938271,0.04145077720207254,0.10030706243602866,390.4047619047619,332.0,313.4839855298408,0.7469135802469136,8,216,36,879
0.03,0.04145077720207254,0.04938271604938271,0.04507042253521126,0.07881269191402251,355.4655172413793,286.5,305.7261122434443,0.691358024691358,8,185,46,900
0.04,0.05625,0.05555555555555555,0.055900621118012424,0.05527123848515865,326.04716981132077,247.0,305.7204723419273,0.6234567901234568,9,151,56,923
0.05,0.09027777777777778,0.08024691358024691,0.08496732026143791,0.042988741044012284,288.11764705882354,170.0,304.9499249834387,0.5740740740740741,13,131,60,935
0.06,0.1,0.08024691358024691,0.08904109589041097,0.03582395087001024,265.5684210526316,165.0,281.14748527499637,0.5432098765432098,13,117,67,942
0.07,0.1322314049586777,0.09876543209876543,0.11307420494699646,0.033776867963152504,240.27272727272728,147.5,272.06085245403557,0.47530864197530864,16,105,74,944
0.08,0.14953271028037382,0.09876543209876543,0.11895910780669144,0.028659160696008188,182.9240506329114,97.0,222.4780900691292,0.41358024691358025,16,91,83,949
0.09,0.2553191489361702,0.14814814814814814,0.18749999999999997,0.021494370522006142,159.36986301369862,81.0,206.67700343602888,0.35802469135802467,24,70,89,956
0.1,0.25301204819277107,0.12962962962962962,0.17142857142857146,0.01842374616171955,159.07692307692307,80.0,206.10343241215318,0.3271604938271605,21,62,97,959
0.11,0.26582278481012656,0.12962962962962962,0.17427385892116182,0.017400204708290685,146.19354838709677,73.5,204.3897951108946,0.29012345679012347,21,58,100,960
0.12,0.28378378378378377,0.12962962962962962,0.17796610169491522,0.014329580348004094,137.55,72.0,171.9779467451181,0.2839506172839506,21,53,102,963
0.13,0.3382352941176471,0.1419753086419753,0.2,0.012282497441146366,127.82142857142857,58.0,164.81029214815194,0.25925925925925924,23,45,106,965
0.14,0.3548387096774194,0.13580246913580246,0.19642857142857142,0.011258955987717503,128.7450980392157,57.0,171.32904280169004,0.2222222222222222,22,40,111,966
0.15,0.375,0.12962962962962962,0.19266055045871555,0.011258955987717503,117.08888888888889,41.0,166.14716665551154,0.19135802469135801,21,35,117,966
0.16,0.36538461538461536,0.11728395061728394,0.17757009345794392,0.01023541453428864,122.5952380952381,39.0,170.17149046711808,0.1728395061728395,19,33,120,967
0.17,0.4,0.12345679012345678,0.18867924528301885,0.01023541453428864,121.6,33.0,174.0242511835635,0.15432098765432098,20,30,122,967
0.18,0.4444444444444444,0.12345679012345678,0.19323671497584538,0.009211873080859774,110.88888888888889,22.0,171.7837428890978,0.11728395061728394,20,25,126,968
0.19,0.4888888888888889,0.13580246913580246,0.21256038647342995,0.009211873080859774,106.11111111111111,13.0,172.95885473747438,0.10493827160493827,22,23,126,968
0.2,0.5,0.13580246913580246,0.21359223300970875,0.008188331627430911,103.72222222222223,13.0,172.04934872024864,0.10493827160493827,22,22,126,969
0.21,0.5,0.13580246913580246,0.21359223300970875,0.008188331627430911,95.61111111111111,12.0,168.2401190391905,0.10493827160493827,22,22,126,969
0.22,0.5121951219512195,0.12962962962962962,0.20689655172413793,0.006141248720573183,96.11428571428571,12.0,170.1336905291284,0.10493827160493827,21,20,127,971
0.23,0.5384615384615384,0.12962962962962962,0.208955223880597,0.00511770726714432,97.67647058823529,16.0,172.0397902997059,0.10493827160493827,21,18,128,972
0.24,0.5263157894736842,0.12345679012345678,0.2,0.00511770726714432,99.72727272727273,18.0,173.01870151628165,0.10493827160493827,20,18,129,972
0.25,0.5263157894736842,0.12345679012345678,0.2,0.00511770726714432,98.63636363636364,16.0,172.71448118504506,0.10493827160493827,20,18,129,972
0.26,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,100.59375,18.0,171.5945183009571,0.09876543209876543,19,18,130,972
0.27,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,98.40625,11.5,171.49778777272172,0.09259259259259259,19,18,130,972
0.28,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,97.96875,11.5,171.63232584055226,0.09259259259259259,19,18,130,972
0.29,0.5,0.10493827160493827,0.173469387755102,0.0040941658137154556,103.93333333333334,20.0,175.39592038838558,0.09259259259259259,17,17,132,973
0.3,0.48484848484848486,0.09876543209876543,0.1641025641025641,0.0040941658137154556,106.79310344827586,28.0,175.12840201925238,0.09259259259259259,16,17,133,973
0.31,0.46875,0.09259259259259259,0.15463917525773196,0.0040941658137154556,110.21428571428571,28.5,176.4625328793738,0.09259259259259259,15,17,134,973
0.32,0.5161290322580645,0.09876543209876543,0.16580310880829016,0.0040941658137154556,96.74074074074075,28.0,165.3370502701796,0.08641975308641975,16,15,135,973
0.33,0.5333333333333333,0.09876543209876543,0.16666666666666666,0.0040941658137154556,96.65384615384616,19.5,168.42070544819788,0.08024691358024691,16,14,136,973
0.34,0.5555555555555556,0.09259259259259259,0.15873015873015875,0.0030706243602865915,90.33333333333333,18.0,167.02735970160364,0.07407407407407407,15,12,138,974
0.35,0.5555555555555556,0.09259259259259259,0.15873015873015875,0.0030706243602865915,89.79166666666667,17.0,167.06111136513954,0.07407407407407407,15,12,138,974
0.36,0.5416666666666666,0.08024691358024691,0.13978494623655913,0.0030706243602865915,94.47619047619048,10.0,176.54073293573788,0.06172839506172839,13,11,141,974
0.37,0.5217391304347826,0.07407407407407407,0.12972972972972974,0.0030706243602865915,98.7,18.5,179.65386163397656,0.06172839506172839,12,11,142,974
0.38,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,97.9,12.5,179.96663579674984,0.06172839506172839,12,10,142,975
0.39,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,97.75,12.5,179.94551258644935,0.06172839506172839,12,10,142,975
0.4,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,97.6,12.0,179.80806433527948,0.06172839506172839,12,10,142,975
0.41,0.5909090909090909,0.08024691358024691,0.14130434782608695,0.0020470829068577278,96.05,7.0,180.4473538182259,0.05555555555555555,13,9,142,975
0.42,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.0020470829068577278,100.42105263157895,8.0,183.87046807595536,0.04938271604938271,12,9,143,975
0.43,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,98.73684210526316,7.0,183.89466152500492,0.04938271604938271,12,8,143,976
0.44,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,98.57894736842105,7.0,183.81836452252008,0.04938271604938271,12,8,143,976
0.45,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,78.94736842105263,7.0,121.65156181929927,0.04938271604938271,12,8,143,976
0.46,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,78.26315789473684,6.0,121.08885041691848,0.04938271604938271,12,8,143,976
0.47,0.631578947368421,0.07407407407407407,0.13259668508287292,0.0010235414534288639,71.44444444444444,5.5,120.64328605080269,0.043209876543209874,12,7,144,976
0.48,0.6875,0.06790123456790123,0.12359550561797752,0.0,69.5625,4.5,120.82682274126884,0.037037037037037035,11,5,146,977
0.49,0.6875,0.06790123456790123,0.12359550561797752,0.0,66.8125,4.5,116.22242616530598,0.037037037037037035,11,5,146,977
0.5,0.6428571428571429,0.05555555555555555,0.10227272727272725,0.0,69.35714285714286,8.5,113.14630676559388,0.030864197530864196,9,5,148,977
0.51,0.5454545454545454,0.037037037037037035,0.06936416184971099,0.0,65.9090909090909,14.0,94.50103851805933,0.030864197530864196,6,5,151,977
0.52,0.6,0.018518518518518517,0.03592814371257485,0.0,50.0,22.0,52.9792412176694,0.018518518518518517,3,2,157,977
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162,977
