threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.05405405405405406,0.08641975308641975,0.0665083135391924,0.1269191402251791,0.1037037037037037,397.85925925925926,265.0,392.8826827619997,135,14,121,27,124,853
0.02,0.07547169811320754,0.09876543209876543,0.08556149732620322,0.09007164790174002,0.12903225806451613,358.03225806451616,255.0,388.24079939421097,124,16,108,38,88,889
0.03,0.06451612903225806,0.07407407407407407,0.06896551724137931,0.07164790174002048,0.10344827586206896,343.05172413793105,222.5,387.4177297499607,116,12,104,46,70,907
0.04,0.11904761904761904,0.12345679012345678,0.1212121212121212,0.06038894575230297,0.1834862385321101,311.55045871559633,164.0,393.4814145556395,109,20,89,53,59,918
0.05,0.12837837837837837,0.11728395061728394,0.12258064516129032,0.04912998976458546,0.19,279.86,155.5,365.8223891453337,100,19,81,62,48,929
0.06,0.17777777777777778,0.14814814814814814,0.1616161616161616,0.04196519959058342,0.2553191489361702,266.4255319148936,137.5,355.41568379053217,94,24,70,68,41,936
0.07,0.2,0.15432098765432098,0.17421602787456447,0.037871033776867964,0.2840909090909091,231.9659090909091,104.5,326.009531681055,88,25,63,74,37,940
0.08,0.21666666666666667,0.16049382716049382,0.18439716312056736,0.0368474923234391,0.30952380952380953,215.98809523809524,89.0,323.9745541906625,84,26,58,78,36,941
0.09,0.22018348623853212,0.14814814814814814,0.1771217712177122,0.030706243602865915,0.3037974683544304,223.37974683544303,95.0,328.99091225944676,79,24,55,83,30,947
0.1,0.21,0.12962962962962962,0.16030534351145037,0.02661207778915046,0.28378378378378377,221.01351351351352,96.0,330.93293569164894,74,21,53,88,26,951
0.11,0.22448979591836735,0.13580246913580246,0.16923076923076924,0.0255885363357216,0.3013698630136986,222.1917808219178,97.0,333.14999943602874,73,22,51,89,25,952
0.12,0.2391304347826087,0.13580246913580246,0.1732283464566929,0.022517911975435005,0.3142857142857143,175.87142857142857,87.0,253.05594646405038,70,22,48,92,22,955
0.13,0.23863636363636365,0.12962962962962962,0.16799999999999998,0.022517911975435005,0.3181818181818182,177.54545454545453,93.5,256.53986528284224,66,21,45,96,22,955
