threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.14479638009049775,0.28444444444444444,0.19190404797601202,0.07932166301969365,0.42105263157894735,148.72368421052633,48.0,229.45164028294033,152,64,88,73,290,3366
0.02,0.17105263157894737,0.28888888888888886,0.21487603305785125,0.06291028446389496,0.43333333333333335,141.97333333333333,44.5,224.87062789277056,150,65,85,75,230,3426
0.03,0.1906158357771261,0.28888888888888886,0.22968197879858657,0.05278993435448578,0.4391891891891892,141.52027027027026,42.0,225.72287690148673,148,65,83,77,193,3463
0.04,0.2018348623853211,0.29333333333333333,0.2391304347826087,0.04950765864332604,0.4520547945205479,136.45205479452054,40.0,222.9978525049181,146,66,80,79,181,3475
0.05,0.2126984126984127,0.29777777777777775,0.24814814814814815,0.04649890590809628,0.46206896551724136,134.42758620689656,39.0,223.9168794311264,145,67,78,80,170,3486
0.06,0.23333333333333334,0.3111111111111111,0.26666666666666666,0.04294310722100656,0.48951048951048953,127.53846153846153,33.0,219.489642275358,143,70,73,82,157,3499
0.07,0.2465277777777778,0.31555555555555553,0.2768031189083821,0.04020787746170678,0.5035460992907801,125.36879432624113,29.0,220.0411119338828,141,71,70,84,147,3509
0.08,0.2697841726618705,0.3333333333333333,0.2982107355864811,0.037472647702407005,0.5319148936170213,113.31205673758865,27.0,199.12881659698562,141,75,66,84,137,3519
0.09,0.27715355805243447,0.3288888888888889,0.3008130081300813,0.0350109409190372,0.5323741007194245,114.65467625899281,27.0,200.1177966850401,139,74,65,86,128,3528
0.1,0.2801556420233463,0.32,0.29875518672199175,0.03336980306345733,0.5333333333333333,111.52592592592593,26.0,199.34781922948156,135,72,63,90,122,3534
0.11,0.288,0.32,0.30315789473684207,0.03145514223194748,0.5333333333333333,107.93333333333334,26.0,193.31824462192827,135,72,63,90,115,3541
0.12,0.2821576763485477,0.3022222222222222,0.2918454935622317,0.03036105032822757,0.5230769230769231,107.93076923076923,27.0,193.66828057120838,130,68,62,95,111,3545
0.13,0.28936170212765955,0.3022222222222222,0.2956521739130435,0.028719912472647702,0.5230769230769231,107.83846153846154,27.0,193.67374643758922,130,68,62,95,105,3551
0.14,0.2807017543859649,0.28444444444444444,0.28256070640176595,0.028172866520787748,0.512,111.632,27.0,196.52067722252536,125,64,61,100,103,3553
0.15,0.27876106194690264,0.28,0.2793791574279379,0.027899343544857767,0.5080645161290323,112.25,28.0,197.13793374019838,124,63,61,101,102,3554
0.16,0.2927927927927928,0.28888888888888886,0.29082774049217003,0.027078774617067834,0.5284552845528455,107.22764227642277,26.0,196.63394297167383,123,65,58,102,99,3557
0.17,0.2981651376146789,0.28888888888888886,0.2934537246049661,0.0262582056892779,0.5327868852459017,104.90983606557377,25.5,196.1163089204039,122,65,57,103,96,3560
0.18,0.3051643192488263,0.28888888888888886,0.29680365296803646,0.02516411378555799,0.5371900826446281,105.47107438016529,25.0,196.79544585791604,121,65,56,104,92,3564
0.19,0.3014354066985646,0.28,0.2903225806451613,0.024890590809628008,0.5338983050847458,107.21186440677967,25.0,198.79223681662694,118,63,55,107,91,3565
0.2,0.305,0.27111111111111114,0.28705882352941176,0.02324945295404814,0.5304347826086957,106.77391304347826,25.0,199.829103545551,115,61,54,110,85,3571
0.21,0.29533678756476683,0.25333333333333335,0.27272727272727276,0.022702407002188184,0.5181818181818182,110.67272727272727,25.0,203.33541967045974,110,57,53,115,83,3573
0.22,0.3131868131868132,0.25333333333333335,0.2800982800982801,0.02024070021881838,0.5277777777777778,110.98148148148148,24.5,205.06724197476922,108,57,51,117,74,3582
0.23,0.3163841807909605,0.24888888888888888,0.27860696517412936,0.019420131291028448,0.5283018867924528,110.24528301886792,24.5,202.5399010919919,106,56,50,119,71,3585
0.24,0.3236994219653179,0.24888888888888888,0.2814070351758794,0.01887308533916849,0.5384615384615384,105.41346153846153,23.5,199.53940282642284,104,56,48,121,69,3587
0.25,0.3313253012048193,0.24444444444444444,0.28132992327365725,0.017778993435448576,0.5445544554455446,107.3069306930693,23.0,202.0835893403479,101,55,46,124,65,3591
0.26,0.3395061728395062,0.24444444444444444,0.28423772609819126,0.01723194748358862,0.5555555555555556,107.36363636363636,23.0,204.06215405628254,99,55,44,126,63,3593
0.27,0.36363636363636365,0.24888888888888888,0.2955145118733509,0.015590809628008753,0.5773195876288659,97.30927835051547,22.0,198.13669970397285,97,56,41,128,57,3599
0.28,0.3835616438356164,0.24888888888888888,0.3018867924528302,0.014223194748358862,0.5957446808510638,90.31914893617021,21.5,192.57058461470734,94,56,38,131,52,3604
0.29,0.39568345323741005,0.24444444444444444,0.3021978021978022,0.012855579868708972,0.5978260869565217,91.44565217391305,21.0,194.39283200074618,92,55,37,133,47,3609
0.3,0.4094488188976378,0.2311111111111111,0.2954545454545454,0.010940919037199124,0.5977011494252874,91.0919540229885,21.0,197.25365152186797,87,52,35,138,40,3616
0.31,0.4262295081967213,0.2311111111111111,0.29971181556195964,0.010667396061269147,0.6265060240963856,88.78313253012048,16.0,199.55565387279032,83,52,31,142,39,3617
0.32,0.4473684210526316,0.22666666666666666,0.30088495575221236,0.009846827133479213,0.6538461538461539,91.75641025641026,15.0,205.13411409758476,78,51,27,147,36,3620
0.33,0.4411764705882353,0.2,0.27522935779816515,0.0087527352297593,0.6428571428571429,77.52857142857142,13.5,132.76980308882327,70,45,25,155,32,3624
0.34,0.43157894736842106,0.18222222222222223,0.25625,0.008479212253829322,0.640625,79.828125,15.0,135.8805259556511,64,41,23,161,31,3625
0.35,0.4367816091954023,0.1688888888888889,0.24358974358974364,0.007932166301969365,0.6551724137931034,73.41379310344827,15.0,128.65605504369185,58,38,20,167,29,3627
0.36,0.4444444444444444,0.16,0.23529411764705882,0.007658643326039387,0.6792452830188679,65.01886792452831,12.0,116.84136812096469,53,36,17,172,28,3628
0.37,0.4788732394366197,0.1511111111111111,0.22972972972972974,0.006291028446389497,0.7083333333333334,62.770833333333336,10.0,120.38778308438205,48,34,14,177,23,3633
0.38,0.47761194029850745,0.14222222222222222,0.21917808219178084,0.006017505470459519,0.7111111111111111,61.22222222222222,9.0,120.95929322414194,45,32,13,180,22,3634
0.39,0.4915254237288136,0.1288888888888889,0.20422535211267606,0.004923413566739606,0.7073170731707317,62.170731707317074,11.0,123.87147202803169,41,29,12,184,18,3638
0.4,0.5294117647058824,0.12,0.19565217391304346,0.004649890590809628,0.7941176470588235,41.26470588235294,6.5,97.40494878825669,34,27,7,191,17,3639
0.41,0.6216216216216216,0.10222222222222223,0.17557251908396948,0.002461706783369803,0.8214285714285714,44.0,3.5,105.9973045479392,28,23,5,197,9,3647
0.42,0.7,0.09333333333333334,0.16470588235294115,0.0019146608315098468,0.9130434782608695,18.217391304347824,3.0,44.04637528563959,23,21,2,202,7,3649
0.43,0.782608695652174,0.08,0.14516129032258066,0.0010940919037199124,0.9473684210526315,16.842105263157894,3.0,45.14335430241234,19,18,1,206,4,3652
0.44,0.7894736842105263,0.06666666666666667,0.12295081967213115,0.0008205689277899343,0.9375,18.125,3.0,48.8951365168357,16,15,1,209,3,3653
0.45,0.8333333333333334,0.044444444444444446,0.08438818565400845,0.0002735229759299781,0.9090909090909091,23.272727272727273,3.0,57.75668542033728,11,10,1,214,1,3655
0.46,0.875,0.03111111111111111,0.060085836909871244,0.0002735229759299781,1.0,3.2857142857142856,2.0,4.948716593053935,7,7,0,218,1,3655
