threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.24727272727272728,0.3022222222222222,0.272,0.036925601750547044,139.10714285714286,31.5,247.2441447068802,0.4,68,207,85,3521
0.02,0.2674897119341564,0.28888888888888886,0.27777777777777773,0.03200218818380744,130.1031746031746,25.5,243.97465485608154,0.3377777777777778,65,178,99,3539
0.03,0.375,0.32,0.3453237410071942,0.020514223194748358,123.73504273504274,15.0,249.13780874521171,0.26666666666666666,72,120,108,3581
0.04,0.35294117647058826,0.26666666666666666,0.3037974683544304,0.018599562363238512,121.97058823529412,22.0,253.46862186906486,0.2311111111111111,60,110,123,3588
0.05,0.4125874125874126,0.26222222222222225,0.3206521739130435,0.015590809628008753,106.25581395348837,12.0,229.3493418471761,0.1688888888888889,59,84,139,3599
0.06,0.40441176470588236,0.24444444444444444,0.3047091412742382,0.015043763676148797,102.55555555555556,12.0,229.2659246323597,0.16,55,81,144,3601
0.07,0.4076923076923077,0.23555555555555555,0.2985915492957747,0.01449671772428884,104.0,11.0,234.37050255425163,0.1511111111111111,53,77,148,3603
0.08,0.42276422764227645,0.2311111111111111,0.2988505747126437,0.013676148796498906,102.78082191780823,10.0,238.78248522167516,0.13777777777777778,52,71,152,3606
0.09,0.42342342342342343,0.2088888888888889,0.27976190476190477,0.012308533916849015,101.96969696969697,9.5,243.48168804873126,0.12444444444444444,47,64,159,3611
0.1,0.4,0.18666666666666668,0.2545454545454546,0.012035010940919038,107.57377049180327,10.0,251.30808334519574,0.11555555555555555,42,63,164,3612
0.11,0.37755102040816324,0.16444444444444445,0.22910216718266252,0.011487964989059081,116.69642857142857,12.0,260.2394446633205,0.11555555555555555,37,61,169,3614
0.12,0.3176470588235294,0.12,0.17419354838709677,0.011214442013129104,141.0681818181818,22.5,284.5172464597847,0.10666666666666667,27,58,181,3615
0.13,0.3170731707317073,0.11555555555555555,0.16938110749185667,0.010667396061269147,144.27906976744185,22.0,287.0157864211455,0.10666666666666667,26,56,182,3617
0.14,0.33766233766233766,0.11555555555555555,0.17218543046357615,0.009846827133479213,142.0,22.0,292.0159534566061,0.09777777777777778,26,51,184,3620
0.15,0.33783783783783783,0.1111111111111111,0.1672240802675585,0.009573304157549234,145.33333333333334,22.0,298.53362421396486,0.09333333333333334,25,49,186,3621
0.16,0.3424657534246575,0.1111111111111111,0.16778523489932887,0.009299781181619256,145.33333333333334,22.0,298.53362421396486,0.09333333333333334,25,48,186,3622
0.17,0.3424657534246575,0.1111111111111111,0.16778523489932887,0.009299781181619256,145.33333333333334,22.0,298.53362421396486,0.09333333333333334,25,48,186,3622
0.18,0.3380281690140845,0.10666666666666667,0.16216216216216217,0.009026258205689279,149.1315789473684,22.0,301.50457542592966,0.09333333333333334,24,47,187,3623
0.19,0.3333333333333333,0.10222222222222223,0.1564625850340136,0.0087527352297593,152.59459459459458,22.0,304.80516235426296,0.08888888888888889,23,46,188,3624
0.2,0.3333333333333333,0.10222222222222223,0.1564625850340136,0.0087527352297593,152.59459459459458,22.0,304.80516235426296,0.08888888888888889,23,46,188,3624
0.21,0.3333333333333333,0.10222222222222223,0.1564625850340136,0.0087527352297593,152.59459459459458,22.0,304.80516235426296,0.08888888888888889,23,46,188,3624
0.22,0.3333333333333333,0.10222222222222223,0.1564625850340136,0.0087527352297593,152.59459459459458,22.0,304.80516235426296,0.08888888888888889,23,46,188,3624
0.23,0.34328358208955223,0.10222222222222223,0.15753424657534248,0.008479212253829322,153.0,22.0,308.9997303127194,0.08444444444444445,23,44,189,3625
0.24,0.34328358208955223,0.10222222222222223,0.15753424657534248,0.008479212253829322,153.0,22.0,308.9997303127194,0.08444444444444445,23,44,189,3625
0.25,0.34375,0.09777777777777778,0.1522491349480969,0.008205689277899343,145.97058823529412,22.0,309.93780071397987,0.08,22,42,191,3626
0.26,0.3492063492063492,0.09777777777777778,0.15277777777777776,0.007932166301969365,145.97058823529412,22.0,309.93780071397987,0.08,22,41,191,3627
0.27,0.3492063492063492,0.09777777777777778,0.15277777777777776,0.007932166301969365,145.97058823529412,22.0,309.93780071397987,0.08,22,41,191,3627
0.28,0.3492063492063492,0.09777777777777778,0.15277777777777776,0.007932166301969365,145.97058823529412,22.0,309.93780071397987,0.08,22,41,191,3627
0.29,0.3492063492063492,0.09777777777777778,0.15277777777777776,0.007932166301969365,145.97058823529412,22.0,309.93780071397987,0.08,22,41,191,3627
0.3,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.31,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.32,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.33,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.34,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.35,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.36,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.37,0.3548387096774194,0.09777777777777778,0.15331010452961674,0.007658643326039387,145.97058823529412,22.0,309.93780071397987,0.08,22,40,191,3628
0.38,0.36666666666666664,0.09777777777777778,0.1543859649122807,0.007111597374179431,145.97058823529412,22.0,309.93780071397987,0.08,22,38,191,3630
0.39,0.3559322033898305,0.09333333333333334,0.147887323943662,0.007111597374179431,150.12121212121212,22.0,313.6664661296906,0.08,21,38,192,3630
0.4,0.3559322033898305,0.09333333333333334,0.147887323943662,0.007111597374179431,150.12121212121212,22.0,313.6664661296906,0.08,21,38,192,3630
0.41,0.3508771929824561,0.08888888888888889,0.14184397163120566,0.007111597374179431,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,37,194,3630
0.42,0.3508771929824561,0.08888888888888889,0.14184397163120566,0.007111597374179431,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,37,194,3630
0.43,0.3508771929824561,0.08888888888888889,0.14184397163120566,0.007111597374179431,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,37,194,3630
0.44,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.45,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.46,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.47,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.48,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.49,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.5,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.51,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.52,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.53,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.54,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.55,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.56,0.35714285714285715,0.08888888888888889,0.1423487544483986,0.006838074398249453,156.29032258064515,22.0,322.46572146392674,0.07555555555555556,20,36,194,3631
0.57,0.3269230769230769,0.07555555555555556,0.12274368231046932,0.006564551422319475,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,35,197,3632
0.58,0.3269230769230769,0.07555555555555556,0.12274368231046932,0.006564551422319475,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,35,197,3632
0.59,0.3333333333333333,0.07555555555555556,0.12318840579710146,0.006291028446389497,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,34,197,3633
0.6,0.3333333333333333,0.07555555555555556,0.12318840579710146,0.006291028446389497,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,34,197,3633
0.61,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.62,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.63,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.64,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.65,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.66,0.3469387755102041,0.07555555555555556,0.12408759124087591,0.0057439824945295405,171.71428571428572,22.5,335.40070461026346,0.07555555555555556,17,32,197,3635
0.67,0.3333333333333333,0.07111111111111111,0.11721611721611722,0.0057439824945295405,177.22222222222223,22.0,340.30959034965593,0.07111111111111111,16,32,198,3635
0.68,0.3404255319148936,0.07111111111111111,0.11764705882352941,0.005470459518599562,177.22222222222223,22.0,340.30959034965593,0.07111111111111111,16,31,198,3636
0.69,0.47058823529411764,0.07111111111111111,0.12355212355212354,0.002461706783369803,161.52,22.0,348.8591830524173,0.06222222222222222,16,18,200,3647
0.7,0.47058823529411764,0.07111111111111111,0.12355212355212354,0.002461706783369803,161.52,22.0,348.8591830524173,0.06222222222222222,16,18,200,3647
0.71,0.45454545454545453,0.06666666666666667,0.11627906976744184,0.002461706783369803,167.75,22.0,354.6876853890852,0.06222222222222222,15,18,201,3647
0.72,0.5,0.07111111111111111,0.1245136186770428,0.002461706783369803,65.82608695652173,21.0,137.1056882636651,0.05333333333333334,16,16,202,3647
0.73,0.5161290322580645,0.07111111111111111,0.125,0.002188183807439825,65.82608695652173,21.0,137.1056882636651,0.05333333333333334,16,15,202,3648
0.74,0.5161290322580645,0.07111111111111111,0.125,0.002188183807439825,65.82608695652173,21.0,137.1056882636651,0.05333333333333334,16,15,202,3648
0.75,0.5714285714285714,0.07111111111111111,0.12648221343873517,0.0013676148796498905,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,12,202,3651
0.76,0.5714285714285714,0.07111111111111111,0.12648221343873517,0.0013676148796498905,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,12,202,3651
0.77,0.5714285714285714,0.07111111111111111,0.12648221343873517,0.0013676148796498905,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,12,202,3651
0.78,0.5714285714285714,0.07111111111111111,0.12648221343873517,0.0013676148796498905,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,12,202,3651
0.79,0.5714285714285714,0.07111111111111111,0.12648221343873517,0.0013676148796498905,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,12,202,3651
0.8,0.5925925925925926,0.07111111111111111,0.12698412698412698,0.0010940919037199124,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,11,202,3652
0.81,0.5925925925925926,0.07111111111111111,0.12698412698412698,0.0010940919037199124,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,11,202,3652
0.82,0.6153846153846154,0.07111111111111111,0.12749003984063745,0.0008205689277899343,40.04347826086956,21.0,65.01871186242872,0.05333333333333334,16,10,202,3653
