threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.13769751693002258,0.27111111111111114,0.18263473053892215,0.08014223194748359,0.4066666666666667,157.76,48.0,249.09678654424002,150,61,89,75,293,3363
0.02,0.16806722689075632,0.26666666666666666,0.20618556701030927,0.058533916849015315,0.4195804195804196,144.5874125874126,42.0,227.43213323137175,143,60,83,82,214,3442
0.03,0.1791044776119403,0.26666666666666666,0.21428571428571425,0.05306345733041575,0.425531914893617,142.46808510638297,42.0,224.29649049440394,141,60,81,84,194,3462
0.04,0.18322981366459629,0.26222222222222225,0.21572212065813529,0.05060175054704595,0.4306569343065693,139.46715328467153,40.0,220.29247483411353,137,59,78,88,185,3471
0.05,0.1870967741935484,0.2577777777777778,0.21682242990654205,0.048413566739606125,0.43609022556390975,141.26315789473685,39.0,222.87745359132003,133,58,75,92,177,3479
0.06,0.20477815699658702,0.26666666666666666,0.23166023166023167,0.0437636761487965,0.45112781954887216,138.78195488721803,37.0,223.1435472557804,133,60,73,92,160,3496
0.07,0.21299638989169675,0.26222222222222225,0.2350597609561753,0.04020787746170678,0.45384615384615384,140.86923076923077,37.0,225.0081498852717,130,59,71,95,147,3509
0.08,0.23220973782771537,0.27555555555555555,0.25203252032520324,0.037472647702407005,0.47692307692307695,133.35384615384615,36.5,221.4824480470166,130,62,68,95,137,3519
0.09,0.23076923076923078,0.26666666666666666,0.24742268041237114,0.036105032822757115,0.46875,133.7421875,37.0,220.7666417174815,128,60,68,97,132,3524
0.1,0.24899598393574296,0.27555555555555555,0.26160337552742613,0.03336980306345733,0.4881889763779528,122.05511811023622,36.0,199.749619143118,127,62,65,98,122,3534
0.11,0.25210084033613445,0.26666666666666666,0.2591792656587473,0.03145514223194748,0.4878048780487805,120.60975609756098,36.0,200.28372696485448,123,60,63,102,115,3541
0.12,0.25225225225225223,0.24888888888888888,0.2505592841163311,0.028719912472647702,0.47863247863247865,120.04273504273505,37.0,201.65259086975635,117,56,61,108,105,3551
0.13,0.2570093457943925,0.24444444444444444,0.2505694760820045,0.027078774617067834,0.4782608695652174,118.67826086956522,36.0,202.65059018251895,115,55,60,110,99,3557
0.14,0.2669902912621359,0.24444444444444444,0.25522041763341063,0.025437636761487966,0.48672566371681414,119.02654867256638,35.0,204.37837806153027,113,55,58,112,93,3563
0.15,0.2676767676767677,0.23555555555555555,0.25059101654846333,0.024070021881838075,0.4818181818181818,119.9090909090909,35.5,205.04542935450561,110,53,57,115,88,3568
0.16,0.25773195876288657,0.2222222222222222,0.2386634844868735,0.023796498905908098,0.4672897196261682,123.10280373831776,37.0,206.95604005562035,107,50,57,118,87,3569
0.17,0.2578947368421053,0.21777777777777776,0.23614457831325303,0.02324945295404814,0.4666666666666667,122.16190476190476,37.0,207.5010555938508,105,49,56,120,85,3571
