threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.17293233082706766,0.30666666666666664,0.22115384615384615,0.0661925601750547,139.22929936305732,41.0,253.58657544014068,0.4577777777777778,69,330,68,3414
0.02,0.2326388888888889,0.29777777777777775,0.2612085769980507,0.039934354485776806,128.23239436619718,36.5,209.83083949726304,0.41333333333333333,67,221,83,3510
0.03,0.2653061224489796,0.28888888888888886,0.2765957446808511,0.03036105032822757,125.92537313432835,34.0,208.86043425693413,0.38222222222222224,65,180,91,3545
0.04,0.2903225806451613,0.28,0.28506787330316746,0.02461706783369803,127.31496062992126,31.0,212.96007909462887,0.35555555555555557,63,154,98,3566
0.05,0.315,0.28,0.29647058823529415,0.020787746170678335,119.13709677419355,28.0,204.501689190808,0.3377777777777778,63,137,101,3580
0.06,0.3516483516483517,0.28444444444444444,0.31449631449631454,0.0175054704595186,109.94067796610169,23.0,200.36844419730576,0.3022222222222222,64,118,107,3592
0.07,0.39156626506024095,0.28888888888888886,0.33248081841432225,0.01477024070021882,100.98214285714286,16.5,198.8509843245357,0.26666666666666666,65,101,113,3602
0.08,0.4236111111111111,0.27111111111111114,0.33062330623306235,0.011487964989059081,93.40196078431373,14.5,199.09458092328396,0.22666666666666666,61,83,123,3614
0.09,0.4140625,0.23555555555555555,0.3002832861189802,0.009573304157549234,99.46236559139786,14.0,205.16888187302587,0.20444444444444446,53,75,132,3621
0.1,0.42105263157894735,0.21333333333333335,0.2831858407079646,0.009026258205689279,102.41975308641975,14.0,214.75871411616322,0.1688888888888889,48,66,144,3623
0.11,0.4485981308411215,0.21333333333333335,0.28915662650602414,0.007932166301969365,101.44871794871794,13.0,215.3011395777657,0.15555555555555556,48,59,147,3627
0.12,0.4519230769230769,0.2088888888888889,0.28571428571428575,0.007932166301969365,94.50666666666666,11.0,211.60827793091858,0.14666666666666667,47,57,150,3627
0.13,0.46875,0.2,0.28037383177570097,0.007111597374179431,98.08571428571429,11.5,214.63056251929018,0.13777777777777778,45,51,155,3630
0.14,0.4838709677419355,0.2,0.28301886792452835,0.006838074398249453,72.86764705882354,10.5,131.7891480415686,0.1288888888888889,45,48,157,3631
0.15,0.4945054945054945,0.2,0.2848101265822785,0.006564551422319475,71.97014925373135,9.0,130.00906629111745,0.12444444444444444,45,46,158,3632
0.16,0.5056179775280899,0.2,0.28662420382165604,0.006291028446389497,72.0,7.5,131.03469353225088,0.11555555555555555,45,44,159,3633
0.17,0.5057471264367817,0.19555555555555557,0.28205128205128205,0.006017505470459519,72.24615384615385,7.0,131.2247667488269,0.1111111111111111,44,43,160,3634
0.18,0.5061728395061729,0.18222222222222223,0.2679738562091503,0.005470459518599562,75.8360655737705,7.0,133.9596440733477,0.10666666666666667,41,40,164,3636
0.19,0.5584415584415584,0.19111111111111112,0.2847682119205298,0.004923413566739606,65.66101694915254,5.0,131.23063023101815,0.09333333333333334,43,34,166,3638
0.2,0.5584415584415584,0.19111111111111112,0.2847682119205298,0.004923413566739606,64.71186440677967,5.0,128.56496753075857,0.09333333333333334,43,34,166,3638
0.21,0.581081081081081,0.19111111111111112,0.2876254180602007,0.004649890590809628,59.10526315789474,4.0,122.55291506056895,0.08444444444444445,43,31,168,3639
0.22,0.5753424657534246,0.18666666666666668,0.2818791946308725,0.004649890590809628,60.07142857142857,4.0,123.4254918597302,0.08444444444444445,42,31,169,3639
0.23,0.5753424657534246,0.18666666666666668,0.2818791946308725,0.004649890590809628,59.92857142857143,4.0,123.46715253500439,0.08444444444444445,42,31,169,3639
0.24,0.5857142857142857,0.18222222222222223,0.2779661016949153,0.004102844638949671,61.018181818181816,4.0,124.31740767583464,0.08444444444444445,41,29,170,3641
0.25,0.6029411764705882,0.18222222222222223,0.279863481228669,0.0038293216630196935,58.75925925925926,4.0,124.85249596063129,0.08,41,27,171,3642
0.26,0.5909090909090909,0.17333333333333334,0.26804123711340205,0.0038293216630196935,60.98076923076923,4.5,126.70597253614906,0.08,39,27,173,3642
0.27,0.5846153846153846,0.1688888888888889,0.2620689655172414,0.0038293216630196935,62.01960784313726,5.0,127.68350734102286,0.08,38,27,174,3642
0.28,0.5901639344262295,0.16,0.2517482517482517,0.0035557986870897156,64.77083333333333,6.0,130.3140820580757,0.07555555555555556,36,25,177,3643
0.29,0.5901639344262295,0.16,0.2517482517482517,0.0035557986870897156,63.083333333333336,4.5,126.68741606366787,0.07555555555555556,36,25,177,3643
0.3,0.5833333333333334,0.15555555555555556,0.2456140350877193,0.0035557986870897156,64.25531914893617,5.0,127.5111122541969,0.07555555555555556,35,25,178,3643
0.31,0.5862068965517241,0.1511111111111111,0.2402826855123675,0.0032822757111597373,65.65217391304348,6.0,128.53340242424287,0.07555555555555556,34,24,179,3644
0.32,0.5892857142857143,0.14666666666666667,0.2348754448398577,0.0030087527352297594,67.06666666666666,7.0,129.58830537085086,0.07555555555555556,33,23,180,3645
0.33,0.5892857142857143,0.14666666666666667,0.2348754448398577,0.0030087527352297594,65.46666666666667,7.0,126.94716311214766,0.07555555555555556,33,23,180,3645
0.34,0.5892857142857143,0.14666666666666667,0.2348754448398577,0.0030087527352297594,65.46666666666667,7.0,126.94716311214766,0.07555555555555556,33,23,180,3645
0.35,0.5740740740740741,0.13777777777777778,0.2222222222222222,0.0030087527352297594,68.4186046511628,8.0,129.08591560412518,0.07555555555555556,31,23,182,3645
0.36,0.5849056603773585,0.13777777777777778,0.22302158273381295,0.002735229759299781,68.11627906976744,8.0,128.3886195967876,0.07555555555555556,31,22,182,3646
0.37,0.58,0.1288888888888889,0.21090909090909088,0.002461706783369803,71.09756097560975,8.0,130.75107701427405,0.07555555555555556,29,21,184,3647
0.38,0.5957446808510638,0.12444444444444444,0.20588235294117646,0.002188183807439825,72.3076923076923,8.0,133.51714647327833,0.07111111111111111,28,19,186,3648
0.39,0.5869565217391305,0.12,0.1992619926199262,0.002188183807439825,73.8157894736842,7.5,134.91846568306158,0.07111111111111111,27,19,187,3648
0.4,0.6,0.12,0.19999999999999998,0.0019146608315098468,73.28947368421052,6.0,135.1692716354565,0.06666666666666667,27,18,187,3649
0.41,0.6,0.12,0.19999999999999998,0.0019146608315098468,73.1842105263158,6.0,134.90910297856848,0.06666666666666667,27,18,187,3649
0.42,0.6,0.12,0.19999999999999998,0.0019146608315098468,73.05263157894737,6.0,134.75395656107565,0.06666666666666667,27,18,187,3649
0.43,0.6,0.12,0.19999999999999998,0.0019146608315098468,73.05263157894737,6.0,134.75395656107565,0.06666666666666667,27,18,187,3649
0.44,0.6136363636363636,0.12,0.20074349442379183,0.0019146608315098468,73.10810810810811,5.0,136.4921112033405,0.06222222222222222,27,17,188,3649
0.45,0.6136363636363636,0.12,0.20074349442379183,0.0019146608315098468,73.10810810810811,5.0,136.4921112033405,0.06222222222222222,27,17,188,3649
0.46,0.6190476190476191,0.11555555555555555,0.1947565543071161,0.0019146608315098468,61.91428571428571,5.0,115.07249179255197,0.057777777777777775,26,16,190,3649
0.47,0.6,0.10666666666666667,0.18113207547169813,0.0019146608315098468,65.45454545454545,7.0,117.57836610664626,0.057777777777777775,24,16,192,3649
0.48,0.6,0.10666666666666667,0.18113207547169813,0.0019146608315098468,65.03030303030303,5.0,117.78806978958718,0.057777777777777775,24,16,192,3649
0.49,0.6153846153846154,0.10666666666666667,0.18181818181818185,0.0016411378555798686,65.03030303030303,5.0,117.78806978958718,0.057777777777777775,24,15,192,3650
0.5,0.6153846153846154,0.10666666666666667,0.18181818181818185,0.0016411378555798686,63.63636363636363,5.0,116.65042783483302,0.057777777777777775,24,15,192,3650
0.51,0.6410256410256411,0.1111111111111111,0.1893939393939394,0.0016411378555798686,63.333333333333336,5.0,116.72440129889661,0.057777777777777775,25,14,192,3650
0.52,0.631578947368421,0.10666666666666667,0.18250950570342206,0.0016411378555798686,64.375,5.0,118.38305146852737,0.05333333333333334,24,14,193,3650
0.53,0.631578947368421,0.10666666666666667,0.18250950570342206,0.0016411378555798686,63.90625,5.0,116.55802186438092,0.05333333333333334,24,14,193,3650
0.54,0.6111111111111112,0.09777777777777778,0.16858237547892724,0.0016411378555798686,67.96666666666667,6.0,119.13535252905504,0.05333333333333334,22,14,195,3650
0.55,0.6111111111111112,0.09777777777777778,0.16858237547892724,0.0016411378555798686,67.16666666666667,6.0,117.68406386970535,0.04888888888888889,22,14,195,3650
0.56,0.6111111111111112,0.09777777777777778,0.16858237547892724,0.0016411378555798686,67.16666666666667,6.0,117.68406386970535,0.04888888888888889,22,14,195,3650
0.57,0.6,0.09333333333333334,0.16153846153846155,0.0016411378555798686,69.48275862068965,7.0,119.0217658128865,0.04888888888888889,21,14,196,3650
0.58,0.5757575757575758,0.08444444444444445,0.14728682170542637,0.0016411378555798686,73.62962962962963,8.0,118.94198652755925,0.04888888888888889,19,14,198,3650
0.59,0.5333333333333333,0.07111111111111111,0.12549019607843137,0.0016411378555798686,81.04166666666667,11.0,123.0760195863606,0.04888888888888889,16,14,201,3650
0.6,0.5185185185185185,0.06222222222222222,0.11111111111111112,0.0016411378555798686,69.19047619047619,8.0,95.84492387761897,0.044444444444444446,14,13,204,3650
0.61,0.5,0.057777777777777775,0.10358565737051792,0.0016411378555798686,72.65,11.5,96.92382318088777,0.044444444444444446,13,13,205,3650
0.62,0.5,0.057777777777777775,0.10358565737051792,0.0016411378555798686,72.35,11.5,97.1412759850312,0.044444444444444446,13,13,205,3650
0.63,0.5833333333333334,0.06222222222222222,0.11244979919678716,0.0013676148796498905,56.78947368421053,7.0,95.32800933031639,0.035555555555555556,14,10,206,3651
0.64,0.5833333333333334,0.06222222222222222,0.11244979919678716,0.0013676148796498905,55.89473684210526,7.0,95.37344589992271,0.035555555555555556,14,10,206,3651
0.65,0.5909090909090909,0.057777777777777775,0.10526315789473682,0.0013676148796498905,60.8235294117647,7.0,99.44566077193507,0.03111111111111111,13,9,208,3651
0.66,0.55,0.04888888888888889,0.08979591836734695,0.0013676148796498905,66.4,4.0,104.5312074613765,0.02666666666666667,11,9,210,3651
0.67,0.55,0.04888888888888889,0.08979591836734695,0.0013676148796498905,66.4,4.0,104.5312074613765,0.02666666666666667,11,9,210,3651
0.68,0.5263157894736842,0.044444444444444446,0.0819672131147541,0.0013676148796498905,70.85714285714286,3.5,106.8141624791509,0.02666666666666667,10,9,211,3651
0.69,0.5263157894736842,0.044444444444444446,0.0819672131147541,0.0013676148796498905,70.85714285714286,3.5,106.8141624791509,0.02666666666666667,10,9,211,3651
0.7,0.47058823529411764,0.035555555555555556,0.06611570247933883,0.0013676148796498905,82.25,8.5,111.36061916135344,0.02666666666666667,8,9,213,3651
0.71,0.4375,0.03111111111111111,0.058091286307053944,0.0013676148796498905,89.72727272727273,15.0,113.3915909252621,0.02666666666666667,7,9,214,3651
