threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.1206896551724138,0.20095693779904306,0.15080789946140036,0.05686695278969957,187.02941176470588,85.5,296.96231542403984,0.5263157894736842,42,306,73,3516
0.02,0.14930555555555555,0.20574162679425836,0.17303822937625754,0.04130901287553648,167.93283582089552,77.0,280.1196492162461,0.507177033492823,43,245,75,3574
0.03,0.1721311475409836,0.20095693779904306,0.18543046357615894,0.0305793991416309,161.36153846153846,76.5,263.02032690813826,0.4880382775119617,42,202,79,3614
0.04,0.20673076923076922,0.20574162679425836,0.20623501199040767,0.021995708154506438,137.26190476190476,71.0,204.72820459111642,0.45933014354066987,43,165,83,3646
0.05,0.21808510638297873,0.19617224880382775,0.20654911838790932,0.019313304721030045,130.26724137931035,53.5,203.4385172630373,0.4258373205741627,41,147,93,3656
0.06,0.22560975609756098,0.17703349282296652,0.19839142091152817,0.01528969957081545,119.41121495327103,54.0,167.2327245884915,0.3875598086124402,37,127,102,3671
0.07,0.23529411764705882,0.1722488038277512,0.1988950276243094,0.013680257510729614,110.67647058823529,52.5,163.1297547884725,0.3684210526315789,36,117,107,3677
0.08,0.24285714285714285,0.16267942583732056,0.19484240687679083,0.012339055793991416,112.7872340425532,53.5,167.57918879706213,0.3397129186602871,34,106,115,3682
0.09,0.2903225806451613,0.1722488038277512,0.21621621621621623,0.01046137339055794,92.2,42.0,136.4562243962165,0.291866028708134,36,88,124,3689
0.1,0.29357798165137616,0.15311004784688995,0.2012578616352201,0.008583690987124463,93.03896103896103,42.0,141.1724046429995,0.2679425837320574,32,77,132,3696
0.11,0.29411764705882354,0.14354066985645933,0.19292604501607716,0.0075107296137339056,92.36486486486487,42.5,139.43220519881106,0.2631578947368421,30,72,135,3700
0.12,0.32978723404255317,0.14832535885167464,0.2046204620462046,0.006169527896995708,92.90140845070422,44.0,142.21667212040288,0.24880382775119617,31,63,138,3705
0.13,0.32926829268292684,0.1291866028708134,0.18556701030927839,0.00509656652360515,89.41269841269842,44.0,136.8388734938569,0.215311004784689,27,55,146,3709
0.14,0.3333333333333333,0.12440191387559808,0.18118466898954705,0.004828326180257511,83.76666666666667,50.0,121.98119618294545,0.20574162679425836,26,52,149,3710
