threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.25,0.1674641148325359,0.2005730659025788,0.011534334763948498,0.36082474226804123,98.58762886597938,51.0,125.59620722631499,97,35,62,112,43,3685
0.02,0.27941176470588236,0.18181818181818182,0.22028985507246376,0.010997854077253219,0.4,95.33684210526316,42.0,126.93318677878207,95,38,57,114,41,3687
0.03,0.27941176470588236,0.18181818181818182,0.22028985507246376,0.010997854077253219,0.4,94.11578947368422,42.0,125.83848153447755,95,38,57,114,41,3687
0.04,0.27941176470588236,0.18181818181818182,0.22028985507246376,0.010997854077253219,0.4,94.11578947368422,42.0,125.83848153447755,95,38,57,114,41,3687
0.05,0.2867647058823529,0.18660287081339713,0.22608695652173916,0.010997854077253219,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,41,3687
0.06,0.2867647058823529,0.18660287081339713,0.22608695652173916,0.010997854077253219,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,41,3687
0.07,0.2867647058823529,0.18660287081339713,0.22608695652173916,0.010997854077253219,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,41,3687
0.08,0.2867647058823529,0.18660287081339713,0.22608695652173916,0.010997854077253219,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,41,3687
0.09,0.2932330827067669,0.18660287081339713,0.22807017543859648,0.0101931330472103,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,38,3690
0.1,0.2932330827067669,0.18660287081339713,0.22807017543859648,0.0101931330472103,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,38,3690
0.11,0.2932330827067669,0.18660287081339713,0.22807017543859648,0.0101931330472103,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,38,3690
0.12,0.2932330827067669,0.18660287081339713,0.22807017543859648,0.0101931330472103,0.4105263157894737,93.53684210526316,41.0,126.01009237160879,95,39,56,114,38,3690
0.13,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.14,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.15,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.16,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.17,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.18,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.19,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.2,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.21,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.22,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.23,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.24,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.25,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.26,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.27,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.28,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.29,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.3,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.31,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.32,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.33,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.34,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.35,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.36,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.37,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.38,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.39,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.4,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.41,0.34782608695652173,0.15311004784688995,0.21262458471760795,0.00536480686695279,0.4444444444444444,66.08333333333333,40.0,73.56209584048325,72,32,40,137,20,3708
0.42,0.3488372093023256,0.14354066985645933,0.20338983050847456,0.00536480686695279,0.45454545454545453,65.12121212121212,40.0,74.10179631232012,66,30,36,143,20,3708
0.43,0.3488372093023256,0.14354066985645933,0.20338983050847456,0.00536480686695279,0.45454545454545453,65.12121212121212,40.0,74.10179631232012,66,30,36,143,20,3708
0.44,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.45,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.46,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.47,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.48,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.49,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.5,0.375,0.14354066985645933,0.20761245674740486,0.004828326180257511,0.4838709677419355,61.725806451612904,38.0,70.47721419809262,62,30,32,147,18,3710
0.51,0.3783783783783784,0.1339712918660287,0.1978798586572438,0.0045600858369098714,0.49122807017543857,62.578947368421055,37.0,72.2493118691011,57,28,29,152,17,3711
0.52,0.3783783783783784,0.1339712918660287,0.1978798586572438,0.0045600858369098714,0.49122807017543857,62.578947368421055,37.0,72.2493118691011,57,28,29,152,17,3711
0.53,0.3611111111111111,0.12440191387559808,0.18505338078291816,0.0045600858369098714,0.4727272727272727,63.236363636363635,40.0,72.43805218915455,55,26,29,154,17,3711
0.54,0.3611111111111111,0.12440191387559808,0.18505338078291816,0.0045600858369098714,0.4727272727272727,63.236363636363635,40.0,72.43805218915455,55,26,29,154,17,3711
0.55,0.3611111111111111,0.12440191387559808,0.18505338078291816,0.0045600858369098714,0.4727272727272727,63.236363636363635,40.0,72.43805218915455,55,26,29,154,17,3711
0.56,0.3611111111111111,0.12440191387559808,0.18505338078291816,0.0045600858369098714,0.4727272727272727,63.236363636363635,40.0,72.43805218915455,55,26,29,154,17,3711
0.57,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.58,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.59,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.6,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.61,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.62,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.63,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.64,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.65,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
