threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.12852664576802508,0.19617224880382775,0.15530303030303028,0.0496244635193133,0.30597014925373134,170.52238805970148,87.5,237.34529026759225,134,41,93,75,185,3543
0.02,0.15503875968992248,0.19138755980861244,0.17130620985010706,0.03540772532188841,0.31746031746031744,144.77777777777777,82.5,190.90344475796803,126,40,86,83,132,3596
0.03,0.16956521739130434,0.18660287081339713,0.1776765375854214,0.028701716738197425,0.3170731707317073,127.96747967479675,76.0,168.72154068767256,123,39,84,86,107,3621
0.04,0.17142857142857143,0.1722488038277512,0.17183770883054894,0.024946351931330473,0.3076923076923077,130.51282051282053,77.0,170.90651292569507,117,36,81,92,93,3635
0.05,0.18848167539267016,0.1722488038277512,0.18000000000000002,0.02092274678111588,0.3185840707964602,118.19469026548673,71.0,145.74828940887105,113,36,77,96,78,3650
0.06,0.18888888888888888,0.16267942583732056,0.17480719794344474,0.019045064377682403,0.3119266055045872,119.61467889908256,71.0,147.5433637552013,109,34,75,100,71,3657
0.07,0.19411764705882353,0.15789473684210525,0.17414248021108178,0.017435622317596565,0.3142857142857143,113.17142857142858,69.0,136.6315488313531,105,33,72,104,65,3663
0.08,0.1949685534591195,0.14832535885167464,0.16847826086956522,0.01555793991416309,0.3069306930693069,113.47524752475248,68.0,136.32028346634507,101,31,70,108,58,3670
0.09,0.2012987012987013,0.14832535885167464,0.17079889807162535,0.015021459227467811,0.3163265306122449,112.98979591836735,73.0,137.009346835778,98,31,67,111,56,3672
0.1,0.20422535211267606,0.13875598086124402,0.16524216524216523,0.013412017167381975,0.31521739130434784,107.8913043478261,68.5,135.55565650810058,92,29,63,117,50,3678
0.11,0.22302158273381295,0.14832535885167464,0.1781609195402299,0.013143776824034335,0.34444444444444444,104.22222222222223,63.5,127.97853793835709,90,31,59,119,49,3679
0.12,0.23134328358208955,0.14832535885167464,0.18075801749271136,0.012875536480686695,0.36046511627906974,95.73255813953489,63.0,108.12583371568395,86,31,55,123,48,3680
0.13,0.2421875,0.14832535885167464,0.18397626112759644,0.011802575107296138,0.36904761904761907,89.3452380952381,57.5,97.34786593004382,84,31,53,125,44,3684
0.14,0.264,0.15789473684210525,0.19760479041916168,0.010997854077253219,0.39285714285714285,88.54761904761905,57.0,97.69564068379294,84,33,51,125,41,3687
0.15,0.2644628099173554,0.15311004784688995,0.1939393939393939,0.010997854077253219,0.4,83.3625,52.0,94.95725929990817,80,32,48,129,41,3687
0.16,0.2672413793103448,0.14832535885167464,0.19076923076923077,0.00992489270386266,0.3924050632911392,83.37974683544304,52.0,95.06444233994254,79,31,48,130,37,3691
0.17,0.2702702702702703,0.14354066985645933,0.1875,0.009388412017167383,0.39473684210526316,83.0657894736842,52.0,95.82183790302486,76,30,46,133,35,3693
0.18,0.2777777777777778,0.14354066985645933,0.18927444794952683,0.008583690987124463,0.39473684210526316,82.8157894736842,52.0,95.75842831206965,76,30,46,133,32,3696
0.19,0.27184466019417475,0.1339712918660287,0.1794871794871795,0.007778969957081545,0.3783783783783784,84.63513513513513,53.0,96.24498222432231,74,28,46,135,29,3699
0.2,0.27184466019417475,0.1339712918660287,0.1794871794871795,0.007778969957081545,0.3783783783783784,84.33783783783784,53.0,96.37501036239676,74,28,46,135,29,3699
0.21,0.2727272727272727,0.1291866028708134,0.17532467532467536,0.007778969957081545,0.38571428571428573,78.97142857142858,48.0,95.44092734380204,70,27,43,139,29,3699
0.22,0.28865979381443296,0.1339712918660287,0.1830065359477124,0.007778969957081545,0.4117647058823529,73.6470588235294,44.0,87.94212078973614,68,28,40,141,29,3699
0.23,0.30851063829787234,0.13875598086124402,0.19141914191419143,0.0075107296137339056,0.4393939393939394,72.3030303030303,40.5,88.87665434627341,66,29,37,143,28,3700
0.24,0.3225806451612903,0.14354066985645933,0.19867549668874168,0.0075107296137339056,0.46153846153846156,72.06153846153846,42.0,89.80540962343602,65,30,35,144,28,3700
0.25,0.33707865168539325,0.14354066985645933,0.20134228187919462,0.007242489270386266,0.4838709677419355,72.41935483870968,32.0,91.53961743897605,62,30,32,147,27,3701
0.26,0.3448275862068966,0.14354066985645933,0.20270270270270271,0.006706008583690987,0.4838709677419355,72.20967741935483,32.0,91.61633484031853,62,30,32,147,25,3703
0.27,0.34146341463414637,0.1339712918660287,0.19243986254295536,0.006169527896995708,0.4745762711864407,72.79661016949153,32.0,93.17902936783995,59,28,31,150,23,3705
0.28,0.34177215189873417,0.1291866028708134,0.1875,0.005633047210300429,0.46551724137931033,73.37931034482759,36.5,93.8044237590411,58,27,31,151,21,3707
0.29,0.3194444444444444,0.11004784688995216,0.16370106761565836,0.004828326180257511,0.42592592592592593,77.87037037037037,48.5,95.61710801058182,54,23,31,155,18,3710
0.3,0.3283582089552239,0.10526315789473684,0.15942028985507245,0.004291845493562232,0.43137254901960786,71.62745098039215,45.0,82.84712138000619,51,22,29,158,16,3712
0.31,0.3333333333333333,0.10047846889952153,0.15441176470588233,0.004023605150214592,0.4375,70.72916666666667,39.0,84.53000936140306,48,21,27,161,15,3713
0.32,0.3275862068965517,0.09090909090909091,0.14232209737827714,0.0037553648068669528,0.4318181818181818,67.8409090909091,37.5,79.55356776806492,44,19,25,165,14,3714
0.33,0.33962264150943394,0.0861244019138756,0.13740458015267176,0.0034871244635193135,0.45,63.975,35.0,72.34344735357861,40,18,22,169,13,3715
0.34,0.3333333333333333,0.07655502392344497,0.12451361867704279,0.002682403433476395,0.42105263157894735,62.81578947368421,39.0,71.07959040220443,38,16,22,171,10,3718
0.35,0.3953488372093023,0.08133971291866028,0.1349206349206349,0.0024141630901287556,0.5,60.205882352941174,30.0,74.75638057039787,34,17,17,175,9,3719
0.36,0.4473684210526316,0.08133971291866028,0.13765182186234817,0.0013412017167381974,0.5151515151515151,52.60606060606061,27.0,63.30155792708681,33,17,16,176,5,3723
0.37,0.42424242424242425,0.06698564593301436,0.11570247933884298,0.0013412017167381974,0.5,55.642857142857146,29.0,65.85222324358115,28,14,14,181,5,3723
0.38,0.4375,0.06698564593301436,0.11618257261410789,0.001072961373390558,0.5,55.107142857142854,29.0,65.96662537423985,28,14,14,181,4,3724
0.39,0.43333333333333335,0.06220095693779904,0.10878661087866108,0.001072961373390558,0.5,57.53846153846154,28.5,67.55295971949641,26,13,13,183,4,3724
0.4,0.4444444444444444,0.05741626794258373,0.1016949152542373,0.0008047210300429185,0.5,60.541666666666664,32.0,68.7186165743235,24,12,12,185,3,3725
0.41,0.46153846153846156,0.05741626794258373,0.1021276595744681,0.0008047210300429185,0.5217391304347826,59.0,30.0,70.85809456383505,23,12,11,186,3,3725
0.42,0.4782608695652174,0.05263157894736842,0.09482758620689653,0.0008047210300429185,0.55,62.6,25.0,74.64877761892689,20,11,9,189,3,3725
0.43,0.45454545454545453,0.04784688995215311,0.08658008658008658,0.0008047210300429185,0.5263157894736842,65.42105263157895,29.0,75.20450419704623,19,10,9,190,3,3725
0.44,0.47619047619047616,0.04784688995215311,0.08695652173913043,0.0008047210300429185,0.5555555555555556,67.38888888888889,24.0,76.29485120889649,18,10,8,191,3,3725
0.45,0.47368421052631576,0.0430622009569378,0.07894736842105263,0.0008047210300429185,0.5625,68.75,23.5,79.24684536308054,16,9,7,193,3,3725
0.46,0.47058823529411764,0.03827751196172249,0.07079646017699115,0.000536480686695279,0.5333333333333333,71.33333333333333,28.0,77.58923178437128,15,8,7,194,2,3726
0.47,0.5294117647058824,0.0430622009569378,0.07964601769911504,0.000536480686695279,0.6,64.33333333333333,25.0,77.86198616069903,15,9,6,194,2,3726
0.48,0.5,0.03827751196172249,0.07111111111111111,0.000536480686695279,0.5714285714285714,59.285714285714285,26.0,68.92276067291203,14,8,6,195,2,3726
0.49,0.5,0.03827751196172249,0.07111111111111111,0.000536480686695279,0.5714285714285714,57.214285714285715,25.0,66.98952857555805,14,8,6,195,2,3726
0.5,0.6428571428571429,0.0430622009569378,0.08071748878923767,0.000536480686695279,0.75,31.416666666666668,14.5,42.75211170872797,12,9,3,197,2,3726
0.51,0.6,0.028708133971291867,0.0547945205479452,0.0002682403433476395,0.6666666666666666,34.0,16.0,35.49960876153739,9,6,3,200,1,3727
0.52,0.6,0.028708133971291867,0.0547945205479452,0.0002682403433476395,0.6666666666666666,31.444444444444443,15.0,33.741208274192985,9,6,3,200,1,3727
0.53,0.6666666666666666,0.028708133971291867,0.055045871559633024,0.0002682403433476395,0.75,27.25,11.5,34.050513946194705,8,6,2,201,1,3727
0.54,0.625,0.023923444976076555,0.04608294930875576,0.0002682403433476395,0.7142857142857143,27.714285714285715,10.0,35.25707339655116,7,5,2,202,1,3727
0.55,0.625,0.023923444976076555,0.04608294930875576,0.0002682403433476395,0.7142857142857143,27.142857142857142,10.0,35.13414526162983,7,5,2,202,1,3727
0.56,0.6,0.014354066985645933,0.028037383177570093,0.0002682403433476395,0.75,33.5,13.5,42.699531613356136,4,3,1,205,1,3727
0.57,0.5,0.009569377990430622,0.018779342723004692,0.0002682403433476395,0.6666666666666666,43.333333333333336,22.0,45.0579873299088,3,2,1,206,1,3727
