serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
ZCH02YZ5,2020-01-13,2020-01-12,1.0,0.044762166881587906
ZCH06GPN,2019-07-08,2019-07-07,1.0,0.044762166881587906
ZCH06GY8,2018-10-18,2018-10-18,0.0,0.999993926897922
ZCH06LY0,2019-07-19,2019-07-16,3.0,0.044762166881587906
ZCH07048,2019-12-04,2019-12-04,0.0,0.044762166881587906
ZCH070B8,2019-08-14,2019-07-26,19.0,0.044762166881587906
ZCH07B55,2019-11-12,2019-11-12,0.0,0.011451658434929613
ZCH07FRY,2018-01-23,2018-01-11,12.0,0.9999997262169561
ZCH07HK7,2019-01-11,2019-01-08,3.0,0.044762166881587906
ZCH07NV4,2019-06-16,2019-06-16,0.0,0.044762166881587906
ZCH07RK0,2019-07-02,2019-07-01,1.0,0.058065829565396944
ZCH07RN1,2019-01-23,2019-01-23,0.0,0.044762166881587906
ZCH07Z42,2018-01-02,2018-01-02,0.0,0.011912718379467021
ZCH07ZEL,2020-04-17,2020-04-17,0.0,0.011451658434929613
ZCH080T0,2019-03-25,2019-03-25,0.0,0.044762166881587906
ZCH084BR,2019-12-28,2019-12-26,2.0,0.011451658434929613
ZCH086ZH,2019-08-02,2019-08-02,0.0,0.044762166881587906
ZCH08AGH,2020-08-10,2020-08-09,1.0,0.11567622688774752
ZCH08B2G,2019-09-28,2019-09-27,1.0,0.044762166881587906
ZCH09257,2019-01-08,2019-01-04,4.0,0.044762166881587906
ZCH098ER,2020-04-01,2020-03-27,5.0,0.011451658434929613
ZCH09VAY,2021-07-06,2021-07-05,1.0,0.997814072909809
ZCH0AEDG,2019-08-27,2019-08-26,1.0,0.2474123172562219
ZCH0AZ6R,2019-09-04,2019-09-03,1.0,0.9986690802366083
ZCH0AZT2,2018-05-20,2018-05-20,0.0,0.9999999780589397
ZCH0BCWV,2018-04-25,2018-04-25,0.0,0.9999999780589397
ZCH0BML8,2019-09-23,2019-09-23,0.0,0.044762166881587906
ZCH0BWPG,2019-07-11,2019-07-10,1.0,0.044762166881587906
ZCH0CDHE,2019-10-14,2019-09-19,25.0,0.044762166881587906
ZCH0CF3L,2019-06-04,2019-05-28,7.0,0.044762166881587906
ZCH0CHDN,2021-02-08,2021-02-01,7.0,0.011451658434929613
ZCH0CJDN,2020-02-04,2020-01-09,26.0,0.11567622688774752
ZCH0CKFM,2018-05-31,2018-05-22,9.0,0.12009486428847763
ZCH0CZ8G,2019-04-09,2019-04-09,0.0,0.044762166881587906
ZCH0CZCN,2019-06-19,2019-06-19,0.0,0.044762166881587906
ZCH0D8BF,2019-07-19,2019-07-19,0.0,0.044762166881587906
ZCH0DXXE,2019-08-27,2019-08-04,23.0,0.044762166881587906
ZJV007PR,2019-09-12,2019-09-08,4.0,0.044762166881587906
ZJV008T0,2020-04-04,2020-04-04,0.0,0.011451658434929613
ZJV00D2C,2020-11-03,2020-10-22,12.0,0.011451658434929613
ZJV00EXD,2019-09-27,2019-09-11,16.0,0.011912718379467021
ZJV00LK1,2018-05-17,2018-05-16,1.0,0.9999997262169561
ZJV03N8M,2019-05-13,2019-05-13,0.0,0.044762166881587906
ZJV03NB1,2018-08-25,2018-08-24,1.0,0.6161893888354936
ZJV03WYL,2019-09-28,2019-09-28,0.0,0.9999561889449434
ZJV0CF01,2019-08-21,2019-08-07,14.0,0.044762166881587906
ZJV0NQFE,2019-11-27,2019-11-27,0.0,0.044762166881587906
ZJV0T5C0,2020-12-28,2020-12-16,12.0,0.011451658434929613
ZJV0VSDQ,2019-08-03,2019-08-03,0.0,0.044762166881587906
ZJV0WBV6,2019-06-09,2019-06-06,3.0,0.044762166881587906
ZJV0WF83,2019-09-04,2019-09-03,1.0,0.9999561889449434
ZJV0WFEP,2020-05-13,2020-05-03,10.0,0.044762166881587906
ZJV0WFNL,2020-07-14,2020-06-30,14.0,0.044762166881587906
ZJV0WFVJ,2018-10-22,2018-10-22,0.0,0.9999999780589397
ZJV121W2,2018-11-26,2018-11-25,1.0,0.12009486428847763
ZJV12R62,2019-08-07,2019-08-07,0.0,0.044762166881587906
ZJV1C49G,2019-08-07,2019-08-06,1.0,0.9999913772850908
ZJV2EFDA,2025-09-22,2025-09-22,0.0,0.011451658434929613
ZJV2ESJ6,2021-03-10,2021-03-08,2.0,0.011451658434929613
ZJV2FPYG,2019-07-07,2019-07-06,1.0,0.9999999780589397
ZJV38HL6,2019-11-18,2019-11-10,8.0,0.9999561889449434
ZJV39MN7,2022-08-26,2022-08-20,6.0,0.011451658434929613
ZJV3A0BA,2021-03-25,2021-03-12,13.0,0.044762166881587906
ZJV3AEDA,2023-09-08,2023-09-03,5.0,0.011451658434929613
ZJV3AMDW,2023-07-16,2023-07-13,3.0,0.011451658434929613
ZJV3BARY,2023-11-18,2023-11-18,0.0,0.011451658434929613
ZJV3BFSQ,2021-08-07,2021-07-28,10.0,0.044762166881587906
ZJV3BXF4,2023-03-12,2023-03-08,4.0,0.011451658434929613
ZJV3C85P,2023-12-12,2023-12-07,5.0,0.011451658434929613
ZJV3CFYZ,2024-12-19,2024-12-01,18.0,0.011451658434929613
ZJV3CPE1,2021-12-26,2021-12-24,2.0,0.011451658434929613
ZJV3CYH0,2025-07-26,2025-06-27,29.0,0.011451658434929613
ZJV3D9GE,2023-11-28,2023-11-24,4.0,0.011451658434929613
ZJV4LB8R,2023-12-05,2023-11-27,8.0,0.942855499298599
ZJV4LNKL,2023-03-05,2023-03-04,1.0,0.011451658434929613
ZJV4P808,2021-10-21,2021-10-21,0.0,0.011451658434929613
