Timestamp,Model,데이터,Seed,Threshold (Proposed-Opt),OAP,ODR,EAP (%),N_On_time,N_Early,N_Missed,N_Censored_Early,N_Censored_No_Alarm,Disk Precision,Disk Recall,Disk F1,Disk FAR (%),Mean Lead Time,Median Lead Time,Std Lead Time,EDR@15
2026-08-11 18:42:42,LSTM,HGST_20HUH721212ALN604,42,0.327,0.6154,0.0988,1.23,16,10,136,4,973,0.5333,0.0988,0.1667,0.41,96.69,19.5,168.44,0.0802
2026-08-11 18:43:08,GRU,HGST_20HUH721212ALN604,42,0.485,0.6667,0.0864,0.79,14,7,141,2,975,0.6087,0.0864,0.1514,0.2,84.67,11.0,176.3,0.0556
2026-08-11 18:43:30,XGB,HGST_20HUH721212ALN604,42,0.477,0.5,0.0494,1.14,8,8,146,5,972,0.381,0.0494,0.0874,0.51,80.88,28.0,109.73,0.0556
2026-08-11 18:43:49,LGBM,HGST_20HUH721212ALN604,42,0.998,0.5312,0.1049,1.76,17,15,130,5,972,0.4595,0.1049,0.1709,0.51,132.47,26.0,253.61,0.1358
2026-08-11 18:44:42,LSTM,ST12000NM0007,42,0.354,0.5745,0.12,1.03,27,20,178,20,3636,0.403,0.12,0.1849,0.55,127.83,21.0,249.48,0.1289
2026-08-11 18:45:33,GRU,ST12000NM0007,42,0.36,0.6792,0.16,1.16,36,17,172,28,3628,0.4444,0.16,0.2353,0.77,65.02,12.0,116.84,0.1067
2026-08-11 18:46:12,XGB,ST12000NM0007,42,0.251,0.7593,0.1822,0.7,41,13,171,14,3642,0.6029,0.1822,0.2799,0.38,58.76,4.0,124.85,0.08
2026-08-11 18:46:43,LGBM,ST12000NM0007,42,0.173,0.641,0.1111,1.24,25,14,186,34,3622,0.3425,0.1111,0.1678,0.93,145.33,22.0,298.53,0.0933
2026-08-11 18:48:52,LSTM,TOSHIBA_20MG07ACA14TA,42,0.314,0.4444,0.0957,0.99,20,25,164,14,3714,0.339,0.0957,0.1493,0.38,67.09,38.0,78.89,0.1435
2026-08-11 18:54:32,GRU,TOSHIBA_20MG07ACA14TA,42,0.192,0.4468,0.1005,0.91,21,26,162,10,3718,0.3684,0.1005,0.1579,0.27,74.77,51.0,99.45,0.1579
2026-08-11 18:55:44,XGB,TOSHIBA_20MG07ACA14TA,42,0.905,0.439,0.0861,0.71,18,23,168,5,3723,0.3913,0.0861,0.1412,0.13,75.83,49.0,90.03,0.134
2026-08-11 18:56:34,LGBM,TOSHIBA_20MG07ACA14TA,42,0.526,0.5,0.0622,0.51,13,13,183,7,3721,0.3939,0.0622,0.1074,0.19,57.5,33.5,58.61,0.0909
