Timestamp,Model,데이터,Seed,Threshold (Row-Opt),Row Precision,Row Recall,Row F1,Row PR-AUC,Row FAR (%),Proposed Disk Precision,Proposed Disk Recall,Proposed Disk F1,Proposed Disk FAR (%),Proposed OAP,Proposed ODR,Proposed EAP (%),Proposed Median LT,Proposed EDR@15
2026-08-11 18:42:41,LSTM,HGST_20HUH721212ALN604,42,0.043,0.0736,0.457,0.1268,0.0,1.03,0.0714,0.0679,0.0696,5.02,0.1048,0.0679,12.55,219.0,0.5988
2026-08-11 18:43:06,GRU,HGST_20HUH721212ALN604,42,0.04,0.0763,0.4671,0.1312,0.0,1.01,0.0565,0.0617,0.059,6.55,0.0885,0.0617,14.66,223.0,0.6728
2026-08-11 18:43:28,XGB,HGST_20HUH721212ALN604,42,0.025,0.0713,0.448,0.123,0.0,1.04,0.0707,0.0864,0.0778,8.19,0.1186,0.0864,16.15,239.5,0.6605
2026-08-11 18:43:44,LGBM,HGST_20HUH721212ALN604,42,0.018,0.0756,0.4621,0.1299,0.0,1.01,0.092,0.0988,0.0952,6.04,0.1391,0.0988,13.87,212.0,0.642
2026-08-11 18:44:37,LSTM,ST12000NM0007,42,0.016,0.0654,0.3713,0.1113,0.0,1.0,0.1649,0.2756,0.2063,6.29,0.4247,0.2756,8.09,41.0,0.4356
2026-08-11 18:45:26,GRU,ST12000NM0007,42,0.016,0.069,0.388,0.1172,0.0,0.98,0.1617,0.2889,0.2073,6.89,0.4333,0.2889,8.68,45.5,0.44
2026-08-11 18:46:08,XGB,ST12000NM0007,42,0.017,0.0661,0.3909,0.113,0.0,1.04,0.2248,0.3067,0.2594,4.4,0.4726,0.3067,6.13,36.5,0.4222
2026-08-11 18:46:40,LGBM,ST12000NM0007,42,0.01,0.0727,0.3897,0.1226,0.0,0.93,0.2473,0.3022,0.272,3.69,0.4857,0.3022,5.33,31.5,0.4
2026-08-11 18:48:46,LSTM,TOSHIBA_20MG07ACA14TA,42,0.004,0.0384,0.4796,0.0711,0.0,1.03,0.0878,0.1818,0.1184,7.86,0.2714,0.1818,10.03,114.0,0.5598
2026-08-11 18:54:28,GRU,TOSHIBA_20MG07ACA14TA,42,0.004,0.0439,0.481,0.0805,0.0,0.9,0.0819,0.177,0.112,8.32,0.2606,0.177,10.54,108.0,0.5694
2026-08-11 18:55:29,XGB,TOSHIBA_20MG07ACA14TA,42,0.002,0.0657,0.4336,0.1142,0.0,0.53,0.1805,0.2297,0.2021,3.35,0.3404,0.2297,5.54,56.0,0.5072
2026-08-11 18:56:26,LGBM,TOSHIBA_20MG07ACA14TA,42,0.002,0.0724,0.3839,0.1218,0.0,0.42,0.1798,0.1962,0.1876,2.68,0.3203,0.1962,4.75,69.5,0.4641
