serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
ZCH02YZ5,2020-01-13,2020-01-12,1.0,0.9751909375190735
ZCH06FBG,2019-05-23,2019-05-22,1.0,0.9875078797340393
ZCH06HQV,2019-07-22,2019-07-20,2.0,0.9658050537109375
ZCH06LY0,2019-07-19,2019-06-28,21.0,0.9872657060623169
ZCH0931T,2019-01-03,2019-01-01,2.0,0.9808787107467651
ZCH0AEDG,2019-08-27,2019-08-26,1.0,0.9905401468276978
ZCH0AZ6R,2019-09-04,2019-09-03,1.0,0.9660304188728333
ZCH0C5JJ,2019-11-20,2019-11-04,16.0,0.951649010181427
ZCH0CDHE,2019-10-14,2019-09-16,28.0,0.9647581577301025
ZCH0CZEK,2019-05-13,2019-04-29,14.0,0.9681282043457031
ZCH0DYK0,2019-02-28,2019-02-02,26.0,0.9514585137367249
ZJV03N8M,2019-05-13,2019-05-11,2.0,0.9570432901382446
ZJV0WF83,2019-09-04,2019-09-01,3.0,0.9659132361412048
ZJV3CFFM,2025-06-16,2025-06-09,7.0,0.9528118371963501
ZJV3CFYZ,2024-12-19,2024-12-11,8.0,0.954358696937561
ZJV3D9GE,2023-11-28,2023-11-12,16.0,0.9507318735122681
ZJV5JE76,2020-08-12,2020-08-11,1.0,0.9627345204353333
