Timestamp,Model,데이터,불균형 처리,첫날포함여부,Seed,Lead Time,Row Precision,Row Recall,Row F1,Row PR-AUC,Row FAR (%),Threshold,Disk-level Precision,Disk-level Recall,F1-score,Disk-level FAR (%),Median Lead Time,EDR@15,Single-Obs Precision,Single-Obs Recall,Single-Obs F1,Single-Obs FAR (%),,,,,,,,,,,,
2026-08-04 20:29,LGBM,ST12000NM0007,none,포함(False),42,30,0.0772,0.3448,0.1262,0.0486,0.77,0.02,0.3764,0.2978,0.3325,3.04,5,0.0844,,,,,,,,,,,,,,9,59,-0.460467001
2026-08-04 20:29,XGB,ST12000NM0007,none,포함(False),42,30,0.0696,0.3605,0.1167,0.0506,0.91,0.02,0.3251,0.2933,0.3084,3.75,6,0.0756,,,,,,,,,,,,,,14,55.5,
2026-08-04 20:30,LSTM,ST12000NM0007,none,포함(False),42,30,0.0756,0.3692,0.1256,0.0516,0.85,0.02,0.2641,0.2711,0.2675,4.65,4,0.0711,,,,,,,,,,,,,,21,44.5,
2026-08-04 20:32,GRU,ST12000NM0007,none,포함(False),42,30,0.0718,0.39,0.1213,0.0799,0.95,0.02,0.2266,0.28,0.2505,5.88,4,0.0622,,,,,,,,,,,,,,38,46.5,
2026-08-04 20:32,LGBM,HGST_20HUH721212ALN604,none,포함(False),42,30,0.0904,0.3645,0.1449,0.0869,0.65,0.04,0.186,0.0988,0.129,7.16,10,0.037,,,,,,,,,,,,,,17,16,
2026-08-04 20:32,XGB,HGST_20HUH721212ALN604,none,포함(False),42,30,0.0797,0.4545,0.1357,0.1166,0.94,0.04,0.1529,0.0802,0.1053,7.37,15,0.0432,,,,,,,,,,,,,,56,10.5,
2026-08-04 20:33,LSTM,HGST_20HUH721212ALN604,none,포함(False),42,30,0.074,0.4376,0.1265,0.0832,0.98,0.03,0.1964,0.0679,0.1009,4.61,13,0.0309,,,,,,,,,,,,,,45.5,4.5,
2026-08-04 20:33,GRU,HGST_20HUH721212ALN604,none,포함(False),42,30,0.0941,0.4212,0.1538,0.1014,0.72,0.04,0.1475,0.0556,0.0807,5.32,3,0.0247,,,,,,,,,,,,,0.243515913,42,1,
2026-08-04 20:34,LGBM,TOSHIBA_20MG07ACA14TA,none,포함(False),42,30,0.1517,0.2249,0.1812,0.0802,0.11,0.01,0.4127,0.1244,0.1912,0.99,10,0.0431,,,,,,,,,,,,,,1,20,
2026-08-04 20:34,XGB,TOSHIBA_20MG07ACA14TA,none,포함(False),42,30,0.0633,0.3695,0.1081,0.0611,0.47,0.01,0.2431,0.2105,0.2256,3.67,4.5,0.067,,,,,,,,,,,,,,24,38,
